id,name
1,"Ferdinand (Fernandus) Bontinus, Kaplan, KMs Gesandter"
2,"Ferdinand (Ferrandino) II. von Aragón, König von Neapel (1495-1496)"
3,"Ferdinand (Ferrando) I., König von Aragón (1412-1416)"
4,"Ferdinand (Ferrando) II. (der Katholische), König von Aragón (1479-1516), König von Kastilien-León"
5,"Ferdinand (Ferrante) I. von Aragón, König von Neapel (1458-1494)"
6,"Ferdinand I., römischer König und Kaiser (1531/1558-1564)"
7,"Ferdinand II., römischer Kaiser (1619-1637)"
8,"Ferdinand II. (Tirol), Erzherzog von Österreich, Landesfürst von Tirol (1564-1595)"
9,"Ferdinand de Neufchâtel [Neuchâtel, Novo Castro, Novocastro], Herr de Montaigu"
10,"Ferdinand von Aragón, Herzog von Kalabrien, Kronprinz von Neapel"
11,"Philippine Welser, Augsburger Patriziertochter, Ehefrau von Erzherzog Ferdinand II. von Tirol"
